date,open,high,low,close
2012-10-01,11.178335189819336,11.178335189819336,11.178335189819336,11.178335189819336
2012-10-02,11.201538085937498,11.201538085937498,11.201538085937498,11.2015380859375
2012-10-03,11.192835807800293,11.192835807800293,11.192835807800293,11.192835807800293
2012-10-04,11.300152778625488,11.300152778625488,11.300152778625488,11.300152778625488
2012-10-05,11.297252655029297,11.297252655029297,11.297252655029297,11.297252655029297
2012-10-08,11.259548187255858,11.259548187255858,11.259548187255858,11.25954818725586
2012-10-09,11.123226165771484,11.123226165771484,11.123226165771484,11.123226165771484
2012-10-10,11.039113998413086,11.039113998413086,11.039113998413086,11.039113998413086
2012-10-11,11.085521697998047,11.085521697998047,11.085521697998047,11.085521697998047
2012-10-12,11.047813415527344,11.047813415527344,11.047813415527344,11.047813415527344
2012-10-15,11.12032413482666,11.12032413482666,11.12032413482666,11.12032413482666
2012-10-16,11.247944831848145,11.247944831848145,11.247944831848145,11.247944831848145
2012-10-17,11.247944831848145,11.247944831848145,11.247944831848145,11.247944831848145
2012-10-18,11.204438209533693,11.204438209533693,11.204438209533693,11.204438209533691
2012-10-19,11.001407623291016,11.001407623291016,11.001407623291016,11.001407623291016
2012-10-22,10.943398475646973,10.943398475646973,10.943398475646973,10.943398475646973
2012-10-23,10.862186431884766,10.862186431884766,10.862186431884766,10.862186431884766
2012-10-24,10.812875747680664,10.812875747680664,10.812875747680664,10.812875747680664
2012-10-25,10.81867790222168,10.81867790222168,10.81867790222168,10.81867790222168
2012-10-26,10.827380180358887,10.827380180358887,10.827380180358887,10.827380180358887
2012-10-31,10.870885848999022,10.870885848999022,10.870885848999022,10.870885848999023
2012-11-01,11.091320991516113,11.091320991516113,11.091320991516113,11.091320991516113
2012-11-02,10.972403526306152,10.972403526306152,10.972403526306152,10.972403526306152
2012-11-05,11.024608612060549,11.024608612060549,11.024608612060549,11.024608612060547
2012-11-06,11.111624717712402,11.111624717712402,11.111624717712402,11.111624717712402
2012-11-07,10.876687049865723,10.876687049865723,10.876687049865723,10.876687049865723
2012-11-08,10.728766441345215,10.728766441345215,10.728766441345215,10.728766441345215
2012-11-09,10.749067306518555,10.749067306518555,10.749067306518555,10.749067306518555
2012-11-12,10.74036693572998,10.74036693572998,10.74036693572998,10.74036693572998
2012-11-13,10.714262962341309,10.714262962341309,10.714262962341309,10.714262962341309
2012-11-14,10.566339492797852,10.566339492797852,10.566339492797852,10.566339492797852
2012-11-15,10.543135643005371,10.543135643005371,10.543135643005371,10.543135643005371
2012-11-16,10.589540481567383,10.589540481567383,10.589540481567383,10.589540481567383
