date,open,high,low,close
2012-10-01,104.60705618321418,105.42935878036604,104.2591547542858,104.43310546875
2012-10-02,104.92334859422782,105.06567742394147,104.13266772755718,104.57544708251953
2012-10-03,104.89173130382814,105.27125475845014,104.3540620170166,105.00242614746094
2012-10-04,105.42939390454136,105.88799029865451,105.30288205826868,105.80892944335938
2012-10-05,106.33073388666696,106.52050159216772,105.47679730915804,105.77725982666016
2012-10-08,105.41359012607137,105.58752883555782,105.23963935175108,105.46102905273438
2012-10-09,105.35029795141031,105.39773686174969,104.35403257496456,104.43310546875
2012-10-10,104.33827704991866,104.43315491551996,103.59503492981395,103.7215347290039
2012-10-11,104.43313125850979,104.59126502030207,103.7847671508789,103.7847671508789
2012-10-12,103.81644503519739,104.18015163460969,103.21551959555275,103.42110443115234
2012-10-15,103.67406430381926,104.38568427417124,103.35779680466176,104.2907943725586
2012-10-16,104.76519557279836,105.42936448313455,104.73357365247155,105.35030364990234
2012-10-17,105.42936540927086,105.91959566487044,105.3186705899091,105.84052276611328
2012-10-18,105.55587642781154,106.06191160749397,105.20797497962417,105.57169342041016
2012-10-19,105.35032074461878,105.35032074461878,103.56337430302037,103.76895904541016
2012-10-22,103.64243137842956,103.97451583674444,102.99406738969778,103.83219909667969
2012-10-23,102.7252596131328,102.82013745903122,101.96621271627977,102.31410217285156
2012-10-24,102.70945020530729,102.86759604659886,101.9345862552805,102.09272003173828
2012-10-25,102.85176317449783,102.97827500207067,101.7764367697925,102.37734985351562
2012-10-26,102.26665244947444,102.66199285207624,101.63410539234522,102.29828643798828
2012-10-31,102.74103821774823,102.80429411298792,101.83966282403223,102.203369140625
2012-11-01,102.5671079953603,103.50010549051662,102.48803509431993,103.40522766113281
2012-11-02,104.03779673300279,104.03779673300279,102.39317897428447,102.47225189208984
2012-11-05,102.31410169615992,102.89920989441744,102.04527309081168,102.70944213867188
2012-11-06,102.97829514209002,103.8638539786296,102.89922221818429,103.46851348876953
2012-11-07,102.56712540824083,102.56712540824083,100.66949007700168,101.2071533203125
2012-11-08,101.12808718172347,101.63411643703544,99.86299896240234,99.86299896240234
2012-11-09,99.6257467079682,100.93827928237779,99.56249081783466,99.97364807128906
2012-11-12,100.32158525331437,100.46390804928076,99.89461686541519,100.11601257324219
2012-11-13,99.56253632001989,100.78018561572063,99.43603051435065,99.75230407714844
2012-11-14,100.0685617556321,100.17925658685078,98.17093263050275,98.5346450805664
2012-11-15,98.43977409150037,98.78767562508864,97.85467190244282,98.1551284790039
2012-11-16,98.39232710669057,98.89836236913781,97.55420130192421,98.6611557006836
2012-11-19,99.83136721707265,100.70111495784742,99.78392226336099,100.66948699951172
2012-11-20,100.55879982136271,100.90670135713965,99.95788063204347,100.78018951416016
2012-11-21,100.8434378957891,101.03319961365355,100.65367617792464,101.00157165527344
2012-11-23,101.46017553217203,102.34573425021281,101.38110261884725,102.28247833251953
2012-11-26,101.83969257923168,102.15596008300781,101.49179108617878,102.15596008300781
2012-11-27,102.01367307889629,102.34575767416605,101.52344262078199,101.665771484375
2012-11-28,101.19133529647081,102.45642341822274,100.63785509591834,102.42478942871094
2012-11-29,102.83596103739318,103.19967957800651,102.3773646448084,102.8833999633789
2012-11-30,102.9150173796717,103.08896812348841,102.56711589203826,102.78850555419922
2012-12-03,103.3736160767529,103.4368719909445,102.31409459508365,102.42478942871094
2012-12-04,102.42480973146965,102.69365043628184,101.96622537613548,102.23505401611328
2012-12-05,102.36155068422899,102.88339088887837,101.64993066270829,102.45642852783203
2012-12-06,102.3615520776321,102.83595336693777,102.23504024121748,102.77269744873047
2012-12-07,103.21549668314354,103.31038661113979,102.58296150895572,103.08899688720703
2012-12-10,102.97827855637343,103.389423912928,102.9308275707719,103.15222930908203
2012-12-11,103.59500133338216,104.32242621836693,103.54756241596621,103.81639099121094
2012-12-12,104.29078715635166,104.65450561356452,103.80056894712774,103.89544677734375
2012-12-13,103.87964661932936,104.13265819980141,103.0098929196379,103.2629165649414
2012-12-14,103.04156936581829,103.23132511315299,102.72528967886642,102.93086242675781
2012-12-17,103.13641149830761,104.16429901123047,103.13641149830761,104.16429901123047
2012-12-18,104.27499368764713,105.36612504953878,104.13266486185033,105.22380828857422
2012-12-19,105.41360648399258,105.41360648399258,104.448974609375,104.448974609375
2012-12-20,104.54383107282587,105.11312229423322,104.27500245850385,105.09730529785156
2012-12-21,103.6582599205006,104.32242891113042,103.54756508872896,104.1168441772461
2012-12-24,103.9575871439121,103.9575871439121,103.7027564043827,103.81424713134766
2012-12-26,104.00536294878205,104.06906150996682,103.09750655719965,103.32048797607422
2012-12-27,103.38420504766253,103.59125576318795,102.06223501761333,103.22492218017578
2012-12-28,102.61967520408848,103.12934871941874,102.04629098039504,102.07814025878906
2012-12-31,101.87111957005487,103.95759423919509,101.77555955515645,103.83018493652344
2013-01-02,105.86885830605908,106.47409186465677,105.56623545097212,106.39446258544922
2013-01-03,106.42634114140766,106.69710263802871,105.94851672842262,106.29891967773438
2013-01-04,106.41040084850444,106.88822521850723,106.2033501023451,106.744873046875
2013-01-07,106.3466315819998,106.53776365510457,106.02809027839702,106.45812225341797
2013-01-08,106.26703934637462,106.39446077282736,105.72550435973851,106.13961791992188
2013-01-09,106.37849300330318,106.69703430690596,106.25107162123334,106.45812225341797
2013-01-10,107.04749240078841,107.28640457785075,106.4581773175784,107.2386245727539
2013-01-11,107.27045386659695,107.28638458251953,106.92005102575504,107.28638458251953
2013-01-14,107.15892684799388,107.2544868079977,106.79260556693147,107.19078826904297
2013-01-15,106.68117092732719,107.35011530183924,106.6174602033387,107.2386245727539
